true_label;assigned_label;result;score
1;1;TP;0.9991422891616821
1;1;TP;0.9992347955703735
0;0;TN;0.9993354678153992
0;0;TN;0.9989708662033081
1;1;TP;0.9991046786308289
0;0;TN;0.9991543292999268
0;0;TN;0.9992037415504456
1;1;TP;0.9990172386169434
0;0;TN;0.9990862607955933
1;1;TP;0.9989771842956543
0;0;TN;0.996840238571167
1;1;TP;0.9972388744354248
1;1;TP;0.9991877675056458
0;0;TN;0.9980459213256836
1;1;TP;0.9989564418792725
1;1;TP;0.9992634654045105
0;0;TN;0.9991406202316284
1;1;TP;0.9991821646690369
1;1;TP;0.9991200566291809
0;0;TN;0.9983898401260376
1;1;TP;0.8996831774711609
0;0;TN;0.9990597367286682
0;0;TN;0.9991008043289185
1;1;TP;0.9987799525260925
0;0;TN;0.9986913800239563
0;0;TN;0.9991562366485596
0;0;TN;0.9989018440246582
0;0;TN;0.8942105770111084
0;0;TN;0.9991550445556641
1;1;TP;0.9989898800849915
0;0;TN;0.999127209186554
0;0;TN;0.9993322491645813
1;1;TP;0.9992074370384216
0;0;TN;0.9992550015449524
1;1;TP;0.9992851614952087
0;0;TN;0.9991198182106018
1;1;TP;0.9991297125816345
0;0;TN;0.9991472959518433
1;1;TP;0.9600729942321777
0;0;TN;0.9993209838867188
0;0;TN;0.9991361498832703
0;0;TN;0.9990909099578857
1;1;TP;0.9989916682243347
0;0;TN;0.9987013339996338
0;0;TN;0.9988237023353577
1;1;TP;0.9992843270301819
1;1;TP;0.9971158504486084
0;0;TN;0.999099850654602
0;0;TN;0.9989519119262695
1;1;TP;0.9990693926811218
1;1;TP;0.9990195035934448
1;1;TP;0.9992941617965698
0;0;TN;0.9990543723106384
1;1;TP;0.9985257983207703
1;1;TP;0.9990617632865906
0;0;TN;0.9988420605659485
1;1;TP;0.9992927312850952
1;1;TP;0.9990930557250977
1;1;TP;0.9971919655799866
0;0;TN;0.9990992546081543
0;0;TN;0.9989814162254333
1;1;TP;0.998053789138794
0;0;TN;0.6047537922859192
1;1;TP;0.9983338713645935
1;1;TP;0.9991828799247742
0;0;TN;0.9992555975914001
0;0;TN;0.9992995262145996
0;0;TN;0.9991816878318787
1;1;TP;0.9990012049674988
